Billing state,Billing city,Population,Population %
alabama,anniston,21169,0.0091258
alabama,athens,30934,0.0133354
alabama,athens,24693,0.0106450
alabama,auburn,82248,0.0354565
alabama,auburn,24847,0.0107114
alabama,auburn,26029,0.0112209
alabama,auburn,83942,0.0361868
alabama,bessemer,25048,0.0107980
alabama,birmingham,197089,0.0849636
alabama,birmingham,21480,0.0092599
alabama,decatur,58326,0.0251439
alabama,decatur,24312,0.0104807
alabama,decatur,68806,0.0296618
alabama,dothan,71288,0.0307317
alabama,enterprise,30272,0.0130500
alabama,florence,42477,0.0183115
alabama,florence,32941,0.0142006
alabama,florence,40687,0.0175399
alabama,gadsden,33309,0.0143593
alabama,greenville,27706,0.0119439
alabama,greenville,90070,0.0388285
alabama,greenville,72879,0.0314176
alabama,greenville,32724,0.0141071
alabama,huntsville,226208,0.0975166
alabama,huntsville,48553,0.0209308
alabama,marion,28110,0.0121180
alabama,marion,42318,0.0182430
alabama,marion,35543,0.0153223
alabama,mobile,183118,0.0789408
alabama,montgomery,196442,0.0846847
alabama,opelika,33595,0.0144826
alabama,ozark,22913,0.0098776
alabama,phenix,38464,0.0165815
alabama,selma,24493,0.0105588
alabama,troy,87398,0.0376766
alabama,troy,50730,0.0218693
alabama,troy,26906,0.0115990
alabama,tuscaloosa,111620,0.0481186
alaska,fairbanks,31864,0.4607421
alaska,haines,37294,0.5392579
arizona,avondale,93692,0.0177250
arizona,casa grande,63757,0.0120618
arizona,chandler,280305,0.0530293
arizona,clifton,88558,0.0167538
arizona,flagstaff,76602,0.0144919
arizona,florence,42477,0.0080360
arizona,florence,32941,0.0062319
arizona,florence,40687,0.0076973
arizona,glendale,253886,0.0480312
arizona,glendale,188701,0.0356992
arizona,kingman,35425,0.0067018
arizona,lake havasu,59321,0.0112226
arizona,mesa,526384,0.0995835
arizona,phoenix,2314157,0.4378019
arizona,prescott,47833,0.0090492
arizona,scottsdale,245021,0.0463541
arizona,sierra vista,44447,0.0084087
arizona,tempe,190158,0.0359749
arizona,tucson,560274,0.1059950
arizona,yuma,101228,0.0191507
arkansas,benton,37612,0.0139771
arkansas,camden,71168,0.0264470
arkansas,conway,70300,0.0261244
arkansas,conway,27987,0.0104003
arkansas,fayetteville,102113,0.0379465
arkansas,fayetteville,20089,0.0074653
arkansas,fayetteville,210381,0.0781803
arkansas,fort smith,89922,0.0334162
arkansas,helena,22121,0.0082205
arkansas,helena,34470,0.0128095
arkansas,hot springs,38020,0.0141287
arkansas,jacksonville,29097,0.0108128
arkansas,jacksonville,1302868,0.4841628
arkansas,jacksonville,72916,0.0270965
arkansas,jonesboro,80996,0.0300992
arkansas,little rock,206410,0.0767047
arkansas,newport,24742,0.0091945
arkansas,north little rock,64688,0.0240389
arkansas,pine bluff,39149,0.0145483
arkansas,rogers,74080,0.0275291
arkansas,searcy,23824,0.0088533
arkansas,van buren,24157,0.0089771
arkansas,west memphis,23861,0.0088671
california,alameda,75654,0.0027034
california,alhambra,80038,0.0028601
california,anaheim,341778,0.0122131
california,antioch,117435,0.0041964
california,arcadia,54245,0.0019384
california,bakersfield,425115,0.0151911
california,barstow,24969,0.0008922
california,belmont,26629,0.0009516
california,berkeley,119194,0.0042593
california,beverly hills,31015,0.0011083
california,brea,48528,0.0017341
california,buena park,82017,0.0029308
california,burbank,102865,0.0036758
california,burbank,28206,0.0010079
california,calexico,38238,0.0013664
california,carlsbad,113619,0.0040601
california,carlsbad,31538,0.0011270
california,carmel,102526,0.0036637
california,chico,101327,0.0036208
california,chula vista,274678,0.0098154
california,claremont,35660,0.0012743
california,compton,91003,0.0032519
california,concord,122413,0.0043743
california,concord,44658,0.0015958
california,concord,110323,0.0039423
california,corona,161404,0.0057676
california,coronado,19097,0.0006824
california,costa mesa,108515,0.0038777
california,culver,39049,0.0013954
california,daly,99974,0.0035725
california,davis,65882,0.0023542
california,downey,108909,0.0038918
california,el centro,43779,0.0015644
california,el cerrito,25570,0.0009137
california,el monte,104094,0.0037197
california,escondido,150245,0.0053689
california,eureka,25736,0.0009197
california,fairfield,120864,0.0043190
california,fairfield,44451,0.0015884
california,fontana,218915,0.0078227
california,fremont,229247,0.0081919
california,fremont,27617,0.0009869
california,fresno,547239,0.0195551
california,fullerton,142416,0.0050891
california,garden grove,170020,0.0060755
california,glendale,253886,0.0090724
california,glendale,188701,0.0067431
california,hayward,155961,0.0055731
california,hollywood,155230,0.0055470
california,huntington beach,195287,0.0069784
california,indio,93095,0.0033267
california,inglewood,102991,0.0036803
california,irvine,316595,0.0113132
california,la habra,61078,0.0021826
california,laguna beach,22340,0.0007983
california,lancaster,168234,0.0060117
california,lancaster,41547,0.0014846
california,lancaster,57254,0.0020459
california,lancaster,40260,0.0014387
california,livermore,82999,0.0029659
california,lodi,67749,0.0024209
california,lompoc,43053,0.0015385
california,long beach,453649,0.0162107
california,long beach,34627,0.0012374
california,los angeles,8258035,0.2950935
california,martinez,36426,0.0013017
california,marysville,28424,0.0010157
california,marysville,73028,0.0026096
california,menlo park,31703,0.0011329
california,merced,93840,0.0033533
california,modesto,219573,0.0078462
california,monterey,29130,0.0010409
california,mountain view,81958,0.0029287
california,napa,77516,0.0027700
california,newport beach,82908,0.0029626
california,norwalk,98103,0.0035056
california,norwalk,92727,0.0033135
california,novato,51884,0.0018540
california,oakland,449468,0.0160613
california,oceanside,170188,0.0060815
california,ontario,182595,0.0065249
california,orange,138397,0.0049455
california,oroville,19474,0.0006959
california,oxnard,198750,0.0071022
california,palm springs,45257,0.0016172
california,palmdale,165430,0.0059115
california,palo alto,65966,0.0023572
california,pasadena,134470,0.0048052
california,pasadena,147317,0.0052642
california,petaluma,58874,0.0021038
california,pomona,145560,0.0052015
california,port hueneme,21236,0.0007588
california,rancho cucamonga,175845,0.0062837
california,redding,92957,0.0033217
california,redlands,72823,0.0026023
california,redondo beach,68001,0.0024300
california,redwood,81004,0.0028946
california,richmond,114268,0.0040833
california,richmond,35451,0.0012668
california,richmond,37262,0.0013315
california,richmond,229447,0.0081991
california,riverside,319543,0.0114186
california,riverside,24352,0.0008702
california,roseville,159506,0.0056998
california,roseville,46727,0.0016697
california,roseville,35452,0.0012668
california,sacramento,545716,0.0195007
california,salinas,159643,0.0057047
california,san bernardino,224028,0.0080054
california,san clemente,62399,0.0022298
california,san diego,1495295,0.0534330
california,san fernando,23369,0.0008351
california,san francisco,879293,0.0314207
california,san gabriel,37767,0.0013496
california,san jose,978468,0.0349647
california,san juan capistrano,34794,0.0012433
california,san leandro,85793,0.0030657
california,san luis obispo,49249,0.0017599
california,san mateo,101597,0.0036305
california,san rafael,59686,0.0021328
california,santa ana,311097,0.0111168
california,santa barbara,86960,0.0031074
california,santa clara,132918,0.0047497
california,santa clarita,224455,0.0080207
california,santa cruz,61601,0.0022013
california,santa monica,90053,0.0032180
california,santa rosa,177432,0.0063404
california,simi valley,125192,0.0044736
california,south san francisco,63234,0.0022596
california,stockton,320154,0.0114404
california,sunnyvale,152933,0.0054649
california,thousand oaks,124130,0.0044357
california,torrance,139250,0.0049760
california,turlock,72205,0.0025802
california,vallejo,123463,0.0044118
california,victorville,139224,0.0049750
california,visalia,145502,0.0051994
california,walnut creek,69197,0.0024727
california,west covina,105744,0.0037787
california,whittier,84528,0.0030205
california,woodland,61146,0.0021850
california,yorba linda,66184,0.0023650
california,yuba,68670,0.0024539
colorado,aurora,396119,0.1248565
colorado,aurora,177899,0.0560737
colorado,boulder,106883,0.0336895
colorado,brighton,42482,0.0133903
colorado,central,29813,0.0093970
colorado,colorado springs,510704,0.1609736
colorado,denver,755078,0.2380001
colorado,englewood,34321,0.0108180
colorado,englewood,29657,0.0093479
colorado,fort collins,171119,0.0539366
colorado,georgetown,39489,0.0124469
colorado,georgetown,96548,0.0304319
colorado,golden,20275,0.0063907
colorado,grand junction,69417,0.0218802
colorado,greeley,113310,0.0357152
colorado,littleton,44478,0.0140194
colorado,longmont,98739,0.0311225
colorado,loveland,79359,0.0250139
colorado,montrose,21335,0.0067248
colorado,pueblo,111180,0.0350439
colorado,westminster,88934,0.0280319
colorado,westminster,114892,0.0362139
colorado,westminster,20564,0.0064818
connecticut,bridgeport,148122,0.0620051
connecticut,bristol,61634,0.0258005
connecticut,bristol,27879,0.0116704
connecticut,danbury,86239,0.0361003
connecticut,darien,21699,0.0090834
connecticut,derby,26235,0.0109822
connecticut,fairfield,120864,0.0505947
connecticut,fairfield,44451,0.0186076
connecticut,farmington,23933,0.0100185
connecticut,farmington,46271,0.0193694
connecticut,farmington,25828,0.0108118
connecticut,hartford,120768,0.0505545
connecticut,lebanon,21722,0.0090930
connecticut,lebanon,26386,0.0110454
connecticut,lebanon,48212,0.0201819
connecticut,manchester,115743,0.0484510
connecticut,mansfield,47757,0.0199915
connecticut,mansfield,78587,0.0328972
connecticut,meriden,60140,0.0251751
connecticut,middletown,48051,0.0201145
connecticut,middletown,30155,0.0126231
connecticut,middletown,51500,0.0215583
connecticut,new britain,74088,0.0310138
connecticut,new haven,135512,0.0567264
connecticut,new london,27569,0.0115406
connecticut,norwalk,98103,0.0410667
connecticut,norwalk,92727,0.0388163
connecticut,norwich,39894,0.0167000
connecticut,orange,138397,0.0579341
connecticut,seymour,21685,0.0090775
connecticut,shelton,42179,0.0176565
connecticut,stamford,136655,0.0572049
connecticut,torrington,35561,0.0148861
connecticut,waterbury,115332,0.0482789
connecticut,watertown,24163,0.0101148
connecticut,watertown,23241,0.0097289
connecticut,watertown,22733,0.0095162
connecticut,west haven,54838,0.0229556
connecticut,west haven,24016,0.0100533
delaware,dover,39924,0.0508649
delaware,dover,33496,0.0426753
delaware,new castle,21434,0.0273078
delaware,newark,47029,0.0599170
delaware,newark,30193,0.0384672
delaware,newark,310539,0.3956400
delaware,newark,51072,0.0650679
delaware,smyrna,56609,0.0721223
delaware,wilmington,71800,0.0914763
delaware,wilmington,122807,0.1564614
florida,bartow,20605,0.0033947
florida,boca raton,100354,0.0165336
florida,bradenton,57098,0.0094070
florida,cape coral,225007,0.0370705
florida,clearwater,116926,0.0192639
florida,coral gables,48370,0.0079691
florida,daytona beach,82528,0.0135967
florida,deerfield beach,87339,0.0143893
florida,delray beach,67652,0.0111458
florida,fort lauderdale,187030,0.0308137
florida,fort myers,97701,0.0160965
florida,fort pierce,49525,0.0081594
florida,fort walton beach,20954,0.0034522
florida,gainesville,146120,0.0240736
florida,gainesville,47294,0.0077918
florida,hallandale beach,41579,0.0068502
florida,hialeah,222906,0.0367243
florida,hollywood,155230,0.0255745
florida,homestead,81785,0.0134743
florida,jacksonville,29097,0.0047938
florida,jacksonville,1302868,0.2146508
florida,jacksonville,72916,0.0120131
florida,key west,25111,0.0041371
florida,lakeland,122315,0.0201517
florida,largo,82485,0.0135896
florida,melbourne,87267,0.0143775
florida,miami,482295,0.0794593
florida,miami beach,79633,0.0131197
florida,new smyrna beach,32665,0.0053816
florida,ocala,68544,0.0112928
florida,orlando,337305,0.0555719
florida,ormond beach,44300,0.0072985
florida,palm bay,135829,0.0223782
florida,panama,35701,0.0058818
florida,pensacola,53886,0.0088779
florida,pompano beach,114106,0.0187993
florida,sanford,65414,0.0107771
florida,sanford,22278,0.0036704
florida,sanford,32082,0.0052856
florida,sarasota,57637,0.0094958
florida,tallahassee,202408,0.0333472
florida,tampa,411894,0.0678606
florida,tarpon springs,25889,0.0042653
florida,titusville,49686,0.0081859
florida,venice,28164,0.0046401
florida,west palm beach,124880,0.0205743
florida,winter haven,57153,0.0094161
florida,winter park,29898,0.0049258
georgia,albany,19393,0.0050229
georgia,albany,67056,0.0173681
georgia,albany,101241,0.0262223
georgia,albany,57074,0.0147826
georgia,athens,30934,0.0080122
georgia,athens,24693,0.0063957
georgia,atlanta,511648,0.1325211
georgia,brunswick,35159,0.0091065
georgia,carrollton,27815,0.0072043
georgia,carrollton,133188,0.0344968
georgia,columbus,202134,0.0523544
georgia,columbus,51713,0.0133941
georgia,columbus,23045,0.0059688
georgia,columbus,24467,0.0063372
georgia,columbus,969655,0.2511488
georgia,dalton,34540,0.0089461
georgia,darien,21699,0.0056202
georgia,decatur,58326,0.0151069
georgia,decatur,24312,0.0062970
georgia,decatur,68806,0.0178213
georgia,east point,38164,0.0098848
georgia,gainesville,146120,0.0378463
georgia,gainesville,47294,0.0122495
georgia,marietta,62876,0.0162854
georgia,rome,38114,0.0098718
georgia,rome,31659,0.0081999
georgia,savannah,148028,0.0383405
georgia,valdosta,55199,0.0142970
georgia,warner robins,84782,0.0219592
georgia,washington,687788,0.1781429
georgia,washington,33957,0.0087951
idaho,boise,243470,0.3259138
idaho,caldwell,68426,0.0915964
idaho,idaho falls,68079,0.0911319
idaho,lewiston,34851,0.0466522
idaho,lewiston,38441,0.0514579
idaho,moscow,26388,0.0353235
idaho,nampa,114296,0.1529989
idaho,pocatello,58082,0.0777497
idaho,rexburg,39980,0.0535180
idaho,twin falls,55025,0.0736576
illinois,alton,25022,0.0024274
illinois,alton,21135,0.0020503
illinois,aurora,396119,0.0384275
illinois,aurora,177899,0.0172580
illinois,belleville,40737,0.0039519
illinois,belvidere,25306,0.0024549
illinois,bloomington,78699,0.0076346
illinois,bloomington,78951,0.0076590
illinois,bloomington,87642,0.0085021
illinois,brookfield,41965,0.0040710
illinois,calumet,34362,0.0033335
illinois,canton,36873,0.0035770
illinois,canton,69412,0.0067337
illinois,carbondale,21594,0.0020948
illinois,champaign,89615,0.0086935
illinois,charleston,155675,0.0151020
illinois,charleston,46900,0.0045498
illinois,chester,33626,0.0032621
illinois,chicago,3820914,0.3706667
illinois,chicago heights,26194,0.0025411
illinois,collinsville,23791,0.0023080
illinois,danville,28216,0.0027372
illinois,danville,41857,0.0040605
illinois,decatur,58326,0.0056582
illinois,decatur,24312,0.0023585
illinois,decatur,68806,0.0066749
illinois,dekalb,40215,0.0039013
illinois,des plaines,58036,0.0056301
illinois,east moline,20859,0.0020235
illinois,elgin,113343,0.0109954
illinois,elmhurst,45450,0.0044091
illinois,evanston,75092,0.0072847
illinois,freeport,23170,0.0022477
illinois,galesburg,29144,0.0028273
illinois,granite,26917,0.0026112
illinois,harrisburg,50045,0.0048549
illinois,highland park,30289,0.0029383
illinois,jacksonville,29097,0.0028227
illinois,jacksonville,1302868,0.1263912
illinois,jacksonville,72916,0.0070736
illinois,joliet,151574,0.0147042
illinois,kankakee,23525,0.0022822
illinois,lake forest,86124,0.0083549
illinois,lincoln,54670,0.0053035
illinois,lincoln,296186,0.0287330
illinois,moline,42056,0.0040799
illinois,mount vernon,71216,0.0069087
illinois,mount vernon,35265,0.0034211
illinois,naperville,150489,0.0145989
illinois,north chicago,30429,0.0029519
illinois,oak park,29025,0.0028157
illinois,oregon,37467,0.0036347
illinois,park ridge,37908,0.0036775
illinois,pekin,31134,0.0030203
illinois,peoria,200884,0.0194877
illinois,peoria,110660,0.0107351
illinois,petersburg,33339,0.0032342
illinois,pontiac,62043,0.0060188
illinois,quincy,38815,0.0037654
illinois,quincy,101680,0.0098640
illinois,rock island,36165,0.0035084
illinois,rockford,146593,0.0142210
illinois,salem,44784,0.0043445
illinois,salem,177563,0.0172254
illinois,salem,25623,0.0024857
illinois,springfield,112609,0.0109242
illinois,springfield,153859,0.0149259
illinois,springfield,170376,0.0165282
illinois,springfield,58086,0.0056349
illinois,springfield,61087,0.0059260
illinois,summit,22367,0.0021698
illinois,urbana,38224,0.0037081
illinois,waukegan,87680,0.0085058
illinois,wheaton,53095,0.0051507
illinois,zion,24231,0.0023506
indiana,anderson,55220,0.0127711
indiana,anderson,29990,0.0069360
indiana,bedford,48397,0.0111931
indiana,bloomington,78699,0.0182013
indiana,bloomington,78951,0.0182595
indiana,bloomington,87642,0.0202696
indiana,columbus,202134,0.0467489
indiana,columbus,51713,0.0119600
indiana,columbus,23045,0.0053298
indiana,columbus,24467,0.0056586
indiana,columbus,969655,0.2242587
indiana,east chicago,25832,0.0059743
indiana,elkhart,53682,0.0124154
indiana,evansville,115474,0.0267065
indiana,fort wayne,274333,0.0634469
indiana,gary,67679,0.0156526
indiana,geneva,21130,0.0048869
indiana,goshen,34358,0.0079462
indiana,greenfield,20662,0.0047786
indiana,greenfield,25937,0.0059986
indiana,greenfield,36917,0.0085380
indiana,hammond,76212,0.0176261
indiana,hammond,22542,0.0052134
indiana,hobart,29452,0.0068116
indiana,huntington,45336,0.0104852
indiana,jeffersonville,51317,0.0118684
indiana,kokomo,59938,0.0138623
indiana,lafayette,25056,0.0057949
indiana,lafayette,30520,0.0070586
indiana,lafayette,71258,0.0164803
indiana,lafayette,121469,0.0280930
indiana,madison,60872,0.0140783
indiana,madison,28010,0.0064781
indiana,madison,281754,0.0651632
indiana,marion,28110,0.0065012
indiana,marion,42318,0.0097872
indiana,marion,35543,0.0082203
indiana,michigan,31680,0.0073268
indiana,mishawaka,50867,0.0117644
indiana,muncie,65116,0.0150598
indiana,new albany,37351,0.0086384
indiana,new castle,21434,0.0049572
indiana,plymouth,77704,0.0179711
indiana,richmond,114268,0.0264275
indiana,richmond,35451,0.0081990
indiana,richmond,37262,0.0086178
indiana,richmond,229447,0.0530658
indiana,shelbyville,20613,0.0047673
indiana,shelbyville,25139,0.0058141
indiana,south bend,103794,0.0240051
indiana,terre haute,58536,0.0135380
indiana,valparaiso,34683,0.0080214
indiana,west lafayette,44854,0.0103737
iowa,ames,65800,0.0405406
iowa,burlington,23571,0.0145225
iowa,burlington,60049,0.0369973
iowa,burlington,44546,0.0274456
iowa,cedar falls,40826,0.0251536
iowa,cedar rapids,136226,0.0839313
iowa,clinton,24241,0.0149353
iowa,clinton,26698,0.0164491
iowa,clinton,23596,0.0145379
iowa,council bluffs,62548,0.0385369
iowa,davenport,100633,0.0620018
iowa,des moines,212392,0.1308585
iowa,des moines,32052,0.0197478
iowa,dubuque,58921,0.0363023
iowa,fairfield,120864,0.0744665
iowa,fairfield,44451,0.0273871
iowa,fort dodge,24626,0.0151725
iowa,iowa,75687,0.0466321
iowa,mason,26908,0.0165785
iowa,mason,35660,0.0219708
iowa,mount pleasant,20883,0.0128664
